WKT;rasterval
LINESTRING (16.2805 48.1425,16.2786 48.1426);Talkengasse
LINESTRING (16.2786 48.195,16.2789 48.1959);Kefergasse
LINESTRING (16.2787 48.2535,16.2792 48.2527);Hubertusweg
LINESTRING (16.2806 48.1611,16.2787 48.1623);Engelshofengasse
LINESTRING (16.2788 48.2403,16.279 48.2404);Parkbachbrücke
LINESTRING (16.2788 48.1772,16.2791 48.1791);Sauraugasse
LINESTRING (16.2788 48.1631,16.2793 48.1628);Linienamtsgasse
LINESTRING (16.2788 48.1842,16.2797 48.1843,16.2811 48.1842);Rossinigasse
LINESTRING (16.2788 48.1437,16.2806 48.1436);Krappweg
LINESTRING (16.2807 48.1976,16.2807 48.1986,16.2796 48.2,16.279 48.2016,16.2789 48.204);Waidhausenstraße
LINESTRING (16.2789 48.204,16.2814 48.2045);Flötzersteig
LINESTRING (16.2789 48.1593,16.2792 48.1596);Matthias-Hau-Gasse
LINESTRING (16.2789 48.1959,16.2796 48.1977);Kefergasse
LINESTRING (16.279 48.1743,16.2792 48.1743);Spitzweggasse
LINESTRING (16.2809 48.1828,16.28 48.1829,16.279 48.1833);Käthe-Leichter-Gasse
LINESTRING (16.279 48.2404,16.2794 48.2405);Neuwaldegger Straße
LINESTRING (16.2797 48.227,16.279 48.227);Röntgengasse
LINESTRING (16.279 48.2547,16.2794 48.2547);Zweiter Gerinnedurchlaß
LINESTRING (16.279 48.1799,16.2792 48.1797);Sauraugasse
LINESTRING (16.279 48.1799,16.2794 48.1799);Nothartgasse
LINESTRING (16.279 48.1917,16.279 48.1914,16.2793 48.1914,16.2793 48.1916);McDrive
LINESTRING (16.279 48.2546,16.2792 48.2547);Höhenstraße
LINESTRING (16.2791 48.1447,16.2807 48.1446);Corvinusgasse
LINESTRING (16.2791 48.147,16.2793 48.1469);Alma-König-Weg
LINESTRING (16.2792 48.1797,16.2791 48.1791);Sauraugasse
LINESTRING (16.2792 48.1627,16.284 48.1681);Speisinger Straße
LINESTRING (16.2792 48.1743,16.2793 48.1744);Spitzweggasse
LINESTRING (16.2792 48.1596,16.2805 48.161);Matthias-Hau-Gasse
LINESTRING (16.2793 48.1722,16.2792 48.1707);Fourniergasse
LINESTRING (16.2794 48.1799,16.2792 48.1797);Sauraugasse
LINESTRING (16.2798 48.1967,16.2792 48.1967);Felbigergasse
LINESTRING (16.2793 48.1469,16.28 48.1469,16.28 48.1466);Alma-König-Weg
LINESTRING (16.2793 48.1744,16.2798 48.1746);Spitzweggasse
LINESTRING (16.2798 48.1689,16.2794 48.1692);Wolkersbergenstraße
LINESTRING (16.2796 48.2406,16.2794 48.2405);Neuwaldegger Straße
LINESTRING (16.2794 48.2405,16.2796 48.2405,16.2796 48.2406);Neuwaldegger Straße
LINESTRING (16.2794 48.1799,16.2808 48.1802);Nothartgasse
LINESTRING (16.2795 48.1509,16.2808 48.153);Alfons-Petzold-Gasse
LINESTRING (16.2808 48.1754,16.2796 48.1749,16.2806 48.1738,16.2817 48.1742,16.2817 48.1744);Egon-Schiele-Gasse
LINESTRING (16.2796 48.2406,16.2812 48.2414,16.2813 48.2425);Höhenstraße
LINESTRING (16.2796 48.1633,16.2809 48.1624,16.2855 48.1628,16.29 48.1623);Riedelgasse
LINESTRING (16.2797 48.227,16.2797 48.2273,16.2804 48.2274,16.2821 48.2293,16.2823 48.2303,16.2818 48.2311,16.2818 48.2313,16.282 48.2314);Trenkwaldgasse
LINESTRING (16.2833 48.2392,16.2797 48.2405);Neuwaldegger Straße
LINESTRING (16.2798 48.1862,16.2798 48.1875);Mantlergasse
LINESTRING (16.2805 48.2522,16.2797 48.2518,16.2809 48.2513);Ringweg
LINESTRING (16.2797 48.227,16.282 48.2263,16.2834 48.2261);Röntgengasse
LINESTRING (16.2813 48.1861,16.2798 48.1862);Meytensgasse
LINESTRING (16.2798 48.1862,16.2807 48.1874);Bossigasse
LINESTRING (16.2808 48.1966,16.2798 48.1967);Felbigergasse
LINESTRING (16.2798 48.1875,16.2798 48.1875);Mantlergasse
LINESTRING (16.2807 48.1875,16.2798 48.1875);Hietzinger Hauptstraße
LINESTRING (16.28 48.19,16.2798 48.1875);Mantlergasse
LINESTRING (16.2798 48.1689,16.2811 48.1684);Wolkersbergenstraße
LINESTRING (16.282 48.1736,16.2806 48.1712,16.2798 48.1689);Biraghigasse
LINESTRING (16.2798 48.136,16.2807 48.1357);Lehmanngasse
LINESTRING (16.2799 48.1361,16.2798 48.136);Lehmanngasse - Breitenfurter Straße
LINESTRING (16.2802 48.1791,16.2798 48.1771);Wambachergasse
LINESTRING (16.28 48.1362,16.2799 48.1361);Lehmanngasse - Breitenfurter Straße
LINESTRING (16.2799 48.1583,16.2804 48.1563,16.2799 48.1534);Karl-Schwed-Gasse
LINESTRING (16.2863 48.1596,16.2852 48.1592,16.2811 48.1587,16.2799 48.1583);Rosenhügelstraße
LINESTRING (16.2799 48.1534,16.2839 48.1515);Friedensstraße
LINESTRING (16.2816 48.1888,16.2799 48.1888);Premreinergasse
LINESTRING (16.2803 48.174,16.2799 48.1739);Zillehof
LINESTRING (16.2802 48.1363,16.28 48.1362);Lehmanngasse - Breitenfurter Straße
LINESTRING (16.28 48.1466,16.2824 48.1462);Alma-König-Weg
LINESTRING (16.28 48.1643,16.2803 48.1643);Trabertgasse
LINESTRING (16.2801 48.1644,16.28 48.1643);Trabertgasse
LINESTRING (16.28 48.19,16.2809 48.1917);Mantlergasse
LINESTRING (16.2801 48.1362,16.2803 48.136);Breitenfurter Straße
LINESTRING (16.2801 48.1575,16.2808 48.1575,16.2829 48.157);Drillgasse
LINESTRING (16.2804 48.1643,16.2801 48.1644);Trabertgasse
LINESTRING (16.2801 48.1548,16.283 48.1551);Eberstorferweg
LINESTRING (16.2807 48.1362,16.2802 48.1363);Breitenfurter Straße
LINESTRING (16.2803 48.1643,16.2804 48.1642);Trabertgasse
LINESTRING (16.2803 48.2069,16.2814 48.2045);Raimannstraße
LINESTRING (16.2803 48.2069,16.2823 48.2073);Baumgartner Höhe
LINESTRING (16.2803 48.2567,16.2807 48.2568);Höhenstraße
LINESTRING (16.2805 48.1642,16.2804 48.1643);Trabertgasse
LINESTRING (16.2804 48.1406,16.2804 48.1397,16.2811 48.1382);Rudolf-Zeller-Gasse
LINESTRING (16.2804 48.1377,16.2811 48.1375);Karl-Schafhauser-Weg
LINESTRING (16.2823 48.1403,16.2804 48.1406);Anton-Krieger-Gasse
LINESTRING (16.281 48.1454,16.2806 48.1436,16.2804 48.1406);Rudolf-Zeller-Gasse
LINESTRING (16.2811 48.2507,16.2804 48.2524,16.2805 48.2536);Promenadeweg
LINESTRING (16.2824 48.1739,16.2817 48.1744,16.2808 48.1754,16.2805 48.1761,16.2805 48.177);Waldvogelstraße
LINESTRING (16.2804 48.1418,16.2818 48.1418);Lodrongasse
LINESTRING (16.2804 48.2523,16.2812 48.2525);Brückenweg
LINESTRING (16.2805 48.1642,16.281 48.164);Speisinger Straße
LINESTRING (16.2805 48.177,16.2836 48.1771);Jagdschloßgasse
LINESTRING (16.2805 48.161,16.2806 48.1611);Matthias-Hau-Gasse
LINESTRING (16.2805 48.2162,16.2811 48.2154);Rädtnergasse
LINESTRING (16.2805 48.1351,16.2809 48.1357);Stuschkagasse
LINESTRING (16.2806 48.166,16.281 48.1678);Hochmaisgasse
LINESTRING (16.2826 48.2166,16.2818 48.2157,16.2806 48.2152);Hertlgasse
LINESTRING (16.2806 48.1611,16.2809 48.1615);Matthias-Hau-Gasse
LINESTRING (16.2811 48.1649,16.2806 48.166);Leitenwaldplatz
LINESTRING (16.2856 48.1708,16.2806 48.1712);Weinrothergasse
LINESTRING (16.2817 48.1525,16.2806 48.1505);Johann-Hörbiger-Gasse
LINESTRING (16.2824 48.1355,16.2807 48.1362);Breitenfurter Straße
LINESTRING (16.2807 48.1874,16.2815 48.1873);Hietzinger Hauptstraße
LINESTRING (16.2828 48.1874,16.2807 48.1874);Hietzinger Hauptstraße
LINESTRING (16.2807 48.1874,16.2825 48.1899);Bossigasse
LINESTRING (16.2812 48.2525,16.2815 48.252,16.2807 48.2518);In den Kräutern
LINESTRING (16.2807 48.2568,16.2852 48.258);Höhenstraße
LINESTRING (16.2817 48.2046,16.2807 48.207);Raimannstraße
LINESTRING (16.2807 48.1791,16.2808 48.1813);Spohrstraße
LINESTRING (16.2807 48.1976,16.2808 48.1956);Waidhausenstraße
LINESTRING (16.2871 48.1969,16.2807 48.1976);Hütteldorfer Straße
LINESTRING (16.2807 48.1357,16.2821 48.1353,16.2825 48.135);Lehmanngasse
LINESTRING (16.2821 48.1394,16.2807 48.1395);Dr.-Andreas-Zailer-Gasse
LINESTRING (16.2809 48.2388,16.2807 48.2389);Schwarzenbergallee
LINESTRING (16.2842 48.1962,16.2808 48.1966);Felbigergasse
LINESTRING (16.2808 48.1813,16.2808 48.1816);Spohrstraße
LINESTRING (16.2808 48.1816,16.2813 48.1861);Spohrstraße
LINESTRING (16.2857 48.1574,16.285 48.1574,16.2822 48.1578,16.2813 48.1581,16.2808 48.1586);Deißenhofergasse
LINESTRING (16.2808 48.153,16.2813 48.1544,16.2812 48.1547);Alfons-Petzold-Gasse
LINESTRING (16.2817 48.1315,16.2809 48.1319);Ketzergasse
LINESTRING (16.2808 48.132,16.2814 48.1325);Perchtoldsdorfer Straße
LINESTRING (16.2808 48.1956,16.2828 48.1953,16.286 48.1946,16.2897 48.1947,16.2923 48.1942,16.2964 48.1943);Linzer Straße
LINESTRING (16.282 48.2314,16.2825 48.2311,16.2832 48.231,16.2833 48.2297,16.2831 48.2291,16.2818 48.2276,16.2816 48.2271,16.2808 48.2267);Plachygasse
LINESTRING (16.281 48.1922,16.2809 48.1917);Guldenbrücke
LINESTRING (16.2814 48.138,16.281 48.1369,16.2817 48.1362,16.2826 48.1359);Schartlgasse
LINESTRING (16.2809 48.151,16.2814 48.1509,16.2825 48.1521);Tilgnergasse
LINESTRING (16.2812 48.2525,16.2809 48.2531);In den Kräutern
LINESTRING (16.2827 48.2378,16.2809 48.2388);Schwarzenbergallee
LINESTRING (16.2812 48.1682,16.281 48.1678);Hermesstraße
LINESTRING (16.281 48.1678,16.2827 48.168);Hermesstraße
LINESTRING (16.2824 48.1462,16.281 48.1454);Rudolf-Zeller-Gasse
LINESTRING (16.3015 48.1886,16.2903 48.1909,16.281 48.1922);Hadikgasse
LINESTRING (16.2811 48.1927,16.281 48.1922);Guldengasse
LINESTRING (16.2862 48.2516,16.2825 48.2512,16.2824 48.2508,16.281 48.2507);Kleeblattweg
LINESTRING (16.2811 48.1382,16.2814 48.138);Rudolf-Waisenhorn-Gasse
LINESTRING (16.2811 48.1649,16.2831 48.1641,16.2847 48.164,16.285 48.1641);Maygasse
LINESTRING (16.2823 48.23,16.2811 48.2305);Grasgasse
LINESTRING (16.2811 48.1927,16.2836 48.1927);Hackinger Straße
LINESTRING (16.2812 48.1932,16.2811 48.1927);Guldengasse
LINESTRING (16.2811 48.1684,16.2812 48.1682);Wolkersbergenstraße
LINESTRING (16.2816 48.1683,16.2811 48.1684);Wolkersbergenstraße
LINESTRING (16.2815 48.1834,16.2811 48.1791);Hummelgasse
LINESTRING (16.2812 48.1933,16.2812 48.1932);Guldengasse
LINESTRING (16.2818 48.2527,16.2812 48.2525);Brückenweg
LINESTRING (16.2812 48.1682,16.2814 48.1678);Hermesstraße
LINESTRING (16.2812 48.1682,16.282 48.1681,16.283 48.1681);Oskar Straus-Park
LINESTRING (16.2816 48.1683,16.2812 48.1682);Wolkersbergenstraße
LINESTRING (16.2812 48.1936,16.2812 48.1933);Guldengasse
LINESTRING (16.2816 48.1354,16.2812 48.1349);Dr.-Anton-Matzig-Gasse
LINESTRING (16.2815 48.1695,16.2812 48.1684);Jakob-Stainer-Gasse
LINESTRING (16.2813 48.194,16.2812 48.1936);Guldengasse
LINESTRING (16.2813 48.1324,16.2816 48.1323);Hausgrabengasse
LINESTRING (16.2813 48.2046,16.2817 48.2047);Raimannstraße
LINESTRING (16.2813 48.194,16.286 48.1938);Baumgartenstraße
LINESTRING (16.2815 48.1955,16.2813 48.194);Guldengasse
LINESTRING (16.2813 48.1861,16.2815 48.1873);Spohrstraße
LINESTRING (16.2813 48.2425,16.2833 48.2396);Artariastraße
LINESTRING (16.2813 48.2425,16.2814 48.2447,16.2823 48.2476,16.2865 48.2499);Höhenstraße
LINESTRING (16.2814 48.2045,16.2875 48.2058,16.2893 48.2063);Flötzersteig
LINESTRING (16.2814 48.138,16.2819 48.138);Rudolf-Waisenhorn-Gasse
LINESTRING (16.2815 48.1327,16.2814 48.1339,16.2821 48.1346);Perchtoldsdorfer Straße
LINESTRING (16.2814 48.1325,16.2815 48.1327);Perchtoldsdorfer Straße
LINESTRING (16.2841 48.1798,16.2814 48.1813);Titlgasse
LINESTRING (16.2814 48.1813,16.2838 48.1821);Suppégasse
LINESTRING (16.2815 48.1527,16.282 48.1533,16.283 48.1551,16.2837 48.1549);Johann-Hörbiger-Gasse
LINESTRING (16.2815 48.1873,16.2819 48.1873);Hietzinger Hauptstraße
LINESTRING (16.2817 48.1315,16.2815 48.1327);Manngasse
LINESTRING (16.2815 48.1834,16.2824 48.183);Stadlergasse
LINESTRING (16.2825 48.2512,16.2816 48.2532);Quellenweg
LINESTRING (16.283 48.1683,16.2816 48.1683);Wolkersbergenstraße
LINESTRING (16.2816 48.2342,16.2822 48.2347,16.2824 48.2353);Hochweg
LINESTRING (16.2827 48.1321,16.2816 48.1323);Hausgrabengasse
LINESTRING (16.2817 48.1848,16.2816 48.184);Hummelgasse
LINESTRING (16.2851 48.1545,16.2817 48.1501);Am Spiegeln
LINESTRING (16.2824 48.1311,16.2817 48.1315);Ketzergasse
LINESTRING (16.2817 48.1315,16.2824 48.1311);Ketzergasse
LINESTRING (16.2895 48.1829,16.2817 48.1848);Beckgasse
LINESTRING (16.2819 48.1873,16.2817 48.1848);Hummelgasse
LINESTRING (16.2826 48.2166,16.2817 48.2169);Gallitzinstraße
LINESTRING (16.2818 48.2403,16.2833 48.2395);De-Quer-Gasse
LINESTRING (16.2818 48.2354,16.2833 48.2351);Buchenweg
LINESTRING (16.2818 48.1658,16.2833 48.1652);Winkelbreiten
LINESTRING (16.2824 48.1886,16.282 48.1879,16.2819 48.1874);Hummelgasse
LINESTRING (16.2819 48.1873,16.2829 48.1873);Hietzinger Hauptstraße
LINESTRING (16.2838 48.1377,16.2819 48.138);Rudolf-Waisenhorn-Gasse
LINESTRING (16.2819 48.138,16.2823 48.1403);Mehlführergasse
LINESTRING (16.2821 48.155,16.2819 48.1555,16.2821 48.1561);Meranerweg
LINESTRING (16.2832 48.1748,16.2826 48.1749,16.2821 48.1754,16.282 48.177);Steinlechnergasse
LINESTRING (16.282 48.1477,16.2825 48.1486,16.283 48.1503,16.2836 48.1511);Ruzickagasse
LINESTRING (16.282 48.1313,16.2821 48.1312);Ketzergasse
LINESTRING (16.282 48.2291,16.2848 48.2283);Moosgasse
LINESTRING (16.282 48.2314,16.2837 48.232);Waldhüttenweg
LINESTRING (16.282 48.1345,16.2826 48.1341);Färbermühlgasse
LINESTRING (16.282 48.1873,16.2828 48.1871);Kupelwiesergasse
LINESTRING (16.282 48.1418,16.2827 48.1418);Lodrongasse
LINESTRING (16.2832 48.1394,16.2821 48.1394);Dr.-Andreas-Zailer-Gasse
LINESTRING (16.2821 48.1346,16.2825 48.135);Perchtoldsdorfer Straße
LINESTRING (16.2837 48.1549,16.2838 48.1544,16.2822 48.1523);Meyrinkgasse
LINESTRING (16.2834 48.23,16.2823 48.23);Grasgasse
LINESTRING (16.2852 48.1582,16.283 48.1582,16.2824 48.1585,16.2823 48.1588);Wernergasse
LINESTRING (16.2823 48.1403,16.2828 48.1419);Mehlführergasse
LINESTRING (16.2823 48.2073,16.2846 48.2069);Spiegelgrundstraße
LINESTRING (16.2859 48.2081,16.2823 48.2073);Sanatoriumstraße
LINESTRING (16.2823 48.2507,16.2826 48.2507);Höhenstraße
LINESTRING (16.2825 48.1946,16.2823 48.194);Klinkowströmgasse
LINESTRING (16.2827 48.1354,16.2824 48.1355);Breitenfurter Straße
LINESTRING (16.2824 48.1355,16.2826 48.1359);Dirmhirngasse
LINESTRING (16.2824 48.1974,16.2826 48.1983);Pfaffenbergengasse
LINESTRING (16.2824 48.151,16.2833 48.1507);Kurze Gasse
LINESTRING (16.2979 48.1295,16.2979 48.1295);Ketzergasse
LINESTRING (16.2977 48.1295,16.2912 48.1304);Ketzergasse
LINESTRING (16.2908 48.1304,16.2891 48.1307);Ketzergasse
LINESTRING (16.2878 48.1308,16.2876 48.1309);Ketzergasse
LINESTRING (16.2874 48.1309,16.2874 48.1309);Ketzergasse
LINESTRING (16.2852 48.1306,16.2838 48.1305,16.2824 48.1311);Ketzergasse
LINESTRING (16.2835 48.2279,16.2827 48.2277,16.2824 48.2274,16.2826 48.2267,16.2825 48.226,16.2832 48.2256);Schrammelgasse
LINESTRING (16.2825 48.1314,16.2827 48.1321);Färbermühlgasse
LINESTRING (16.2824 48.1409,16.2851 48.1405);Robinsonweg
LINESTRING (16.2826 48.1806,16.2824 48.1792);Sebastian-Brunner-Gasse
LINESTRING (16.283 48.1683,16.2827 48.1736,16.2824 48.1739);Anton-Langer-Gasse
LINESTRING (16.2824 48.1739,16.2832 48.1748);Versorgungsheimstraße
LINESTRING (16.2828 48.23,16.2824 48.229);Knospenweg
LINESTRING (16.2832 48.1582,16.2832 48.1576,16.2824 48.156);Greyledergasse
LINESTRING (16.2837 48.1824,16.2824 48.183);Stadlergasse
LINESTRING (16.2824 48.183,16.2848 48.1873,16.2871 48.1908);St.-Veit-Gasse
LINESTRING (16.2834 48.1475,16.2824 48.1462);Rudolf-Zeller-Gasse
LINESTRING (16.2825 48.2338,16.2831 48.2345,16.2834 48.2355);St.-Peter-Gasse
LINESTRING (16.2825 48.135,16.2826 48.1349);Liesinger Platz
LINESTRING (16.2825 48.135,16.2829 48.1353);Liesinger Platz
LINESTRING (16.2825 48.1486,16.2834 48.1487,16.2838 48.1486);Reiterberggasse
LINESTRING (16.2832 48.1946,16.2825 48.1946);Gruschaplatz
LINESTRING (16.2828 48.1953,16.2825 48.1946);Gruschaplatz
LINESTRING (16.2826 48.1349,16.2831 48.1346,16.2832 48.1348);Liesinger Platz
LINESTRING (16.2828 48.135,16.2826 48.1349);Liesinger Platz
LINESTRING (16.2826 48.1341,16.2831 48.1333,16.2827 48.1321);Färbermühlgasse
LINESTRING (16.2826 48.1643,16.2839 48.1657,16.2855 48.1671);Klitschgasse
LINESTRING (16.2826 48.1464,16.284 48.1462);Amstergasse
LINESTRING (16.2916 48.2154,16.2843 48.216,16.2826 48.2166);Gallitzinstraße
LINESTRING (16.2826 48.2166,16.2831 48.217);Traunergasse
LINESTRING (16.2826 48.1348,16.2828 48.1348);Liesinger Platz
LINESTRING (16.2826 48.1349,16.2828 48.1349);Liesinger Platz
LINESTRING (16.2826 48.2507,16.286 48.2508);Höhenstraße
LINESTRING (16.2826 48.1359,16.2838 48.1377);Dirmhirngasse
LINESTRING (16.2853 48.2353,16.2828 48.2365,16.2827 48.2367);Ing.-Körner-Gasse
LINESTRING (16.2827 48.1418,16.2832 48.1434);Mehlführergasse
LINESTRING (16.2829 48.1353,16.2827 48.1354);Breitenfurter Straße
LINESTRING (16.2844 48.1733,16.2827 48.1736);Eduard-Jaeger-Gasse
LINESTRING (16.2827 48.168,16.283 48.1681,16.283 48.1683);Hermesstraße
LINESTRING (16.2827 48.168,16.2839 48.168);Hermesstraße
LINESTRING (16.2868 48.2356,16.2827 48.2378);Schwarzenbergallee
LINESTRING (16.2827 48.1497,16.2833 48.1501,16.2841 48.1501);Taglieberstraße
LINESTRING (16.2828 48.1871,16.2828 48.1873);Kupelwiesergasse
LINESTRING (16.2827 48.2367,16.2845 48.2364,16.2871 48.2352);Waldegghofgasse
LINESTRING (16.2832 48.2513,16.2827 48.2532);Bienenweg
LINESTRING (16.2827 48.135,16.2832 48.1352);Liesinger Platz
LINESTRING (16.2828 48.1349,16.2832 48.1349);Liesinger Platz
LINESTRING (16.2864 48.2346,16.285 48.234,16.2828 48.2334);Petrus-Klotz-Gasse
LINESTRING (16.2844 48.1867,16.2828 48.1871);Kupelwiesergasse
LINESTRING (16.2831 48.217,16.2828 48.2177,16.283 48.218,16.284 48.2178,16.2843 48.2176,16.2875 48.2171,16.2896 48.2169,16.2908 48.2165,16.2923 48.2162);Liebhartstalstraße
LINESTRING (16.2833 48.135,16.2828 48.135);Liesinger Platz
LINESTRING (16.283 48.2049,16.2828 48.2053,16.2831 48.2058,16.2849 48.2063,16.2853 48.2068);Antaeusgasse
LINESTRING (16.2829 48.1873,16.2828 48.1874);Hietzinger Hauptstraße
LINESTRING (16.2845 48.1898,16.2828 48.1874);Feldmühlgasse
LINESTRING (16.2854 48.1415,16.2828 48.1419);Wagenmanngasse
LINESTRING (16.2828 48.1419,16.2832 48.1433);Mehlführergasse
LINESTRING (16.2828 48.1348,16.2831 48.1348);Liesinger Platz
LINESTRING (16.2828 48.1351,16.2829 48.1351);Liesinger Platz
LINESTRING (16.2829 48.1873,16.2956 48.1869,16.2984 48.1865);Hietzinger Hauptstraße
LINESTRING (16.2829 48.1351,16.2833 48.135);Liesinger Platz
LINESTRING (16.2836 48.1351,16.2837 48.1352,16.2829 48.1353);Liesinger Platz
LINESTRING (16.2829 48.1353,16.2832 48.1355);Breitenfurter Straße
LINESTRING (16.2829 48.1351,16.2829 48.1351);Liesinger Platz
LINESTRING (16.2829 48.1893,16.2832 48.1896);Hummelgasse 86
LINESTRING (16.2829 48.2282,16.2836 48.2288,16.284 48.2301);Thymianweg
LINESTRING (16.2829 48.1351,16.2834 48.1351);Liesinger Platz
LINESTRING (16.283 48.138,16.2832 48.1394,16.2837 48.1407);Lehnergasse
LINESTRING (16.284 48.1683,16.2835 48.1682,16.283 48.1683);Wolkersbergenstraße
LINESTRING (16.283 48.2049,16.284 48.2039,16.2866 48.203);Donhartgasse
LINESTRING (16.2844 48.205,16.2832 48.2048,16.283 48.2049);Flötzersteig
LINESTRING (16.283 48.1345,16.2837 48.1341);Franz-Parsche-Gasse
LINESTRING (16.2831 48.1346,16.283 48.1345);Franz-Parsche-Gasse
LINESTRING (16.2831 48.1939,16.2832 48.1946);Höritzergasse
LINESTRING (16.2891 48.2161,16.2831 48.217);Starchantgasse
LINESTRING (16.2831 48.1348,16.2832 48.1348);Liesinger Platz
LINESTRING (16.2831 48.1433,16.2832 48.1433);Mehlführergasse
LINESTRING (16.2831 48.135,16.2833 48.1349);Liesinger Platz
LINESTRING (16.284 48.1462,16.2832 48.1434);Mehlführergasse
LINESTRING (16.2832 48.1896,16.2832 48.1899);Hummelgasse 86
LINESTRING (16.2832 48.1352,16.2834 48.1352);Liesinger Platz
LINESTRING (16.2832 48.2059,16.2837 48.2055,16.2839 48.2051);Drewitzweg
LINESTRING (16.2862 48.2256,16.2857 48.2262,16.2849 48.2254,16.2845 48.2252,16.2832 48.2256);Schrammelgasse
LINESTRING (16.2832 48.2256,16.2834 48.2261);Röntgengasse
LINESTRING (16.2832 48.1355,16.284 48.1362);Breitenfurter Straße
LINESTRING (16.2838 48.1773,16.2834 48.1774,16.2835 48.1781,16.2832 48.1782);Kardinal-König-Platz
LINESTRING (16.2832 48.1349,16.2833 48.1349);Liesinger Platz
LINESTRING (16.2832 48.1748,16.2842 48.1749);Versorgungsheimstraße
LINESTRING (16.2841 48.1751,16.2832 48.1748);Versorgungsheimstraße
LINESTRING (16.2832 48.1946,16.2834 48.1952);Gruschaplatz
LINESTRING (16.2832 48.1348,16.2833 48.1349);Liesinger Platz
LINESTRING (16.2839 48.1765,16.2832 48.1764);Montevideogasse
LINESTRING (16.2832 48.1433,16.2859 48.1429);Keltengasse
LINESTRING (16.2833 48.2396,16.2833 48.2392);Artariastraße
LINESTRING (16.2834 48.135,16.2833 48.135);Liesinger Platz
LINESTRING (16.2833 48.1349,16.284 48.1346);Fröhlichgasse
LINESTRING (16.2833 48.1349,16.2834 48.135);Liesinger Platz
LINESTRING (16.2836 48.2424,16.2834 48.2421,16.2837 48.2403,16.2836 48.2398,16.2833 48.2396);Geroldgasse
LINESTRING (16.2856 48.2242,16.2835 48.2244,16.2834 48.2246);Andergasse
LINESTRING (16.2838 48.2389,16.2833 48.2392);Neuwaldegger Straße
LINESTRING (16.2833 48.135,16.2834 48.135);Liesinger Platz
LINESTRING (16.2833 48.176,16.2835 48.1749);Montevideogasse
LINESTRING (16.2855 48.1473,16.2843 48.1473,16.2834 48.1475);Endresstraße
LINESTRING (16.2845 48.1499,16.2834 48.1475);Rudolf-Zeller-Gasse
LINESTRING (16.2834 48.1352,16.2836 48.1351);Liesinger Platz
LINESTRING (16.2834 48.2246,16.2855 48.225,16.2862 48.2255);Kretschekgasse
LINESTRING (16.2834 48.135,16.2834 48.135);Liesinger Platz
LINESTRING (16.2855 48.2302,16.2844 48.2304,16.284 48.2301,16.2834 48.2302);Grabengasse
LINESTRING (16.2834 48.1351,16.2835 48.1351);Liesinger Platz
LINESTRING (16.2834 48.1487,16.2838 48.1495);Am Hasensprung
LINESTRING (16.2838 48.1495,16.2839 48.1497,16.2835 48.1498,16.2835 48.1496,16.2838 48.1495);Am Hasensprung
LINESTRING (16.2834 48.2355,16.2844 48.235,16.285 48.235);Maximilian-Schober-Gasse
LINESTRING (16.2834 48.2261,16.2836 48.2263,16.2843 48.2263,16.2851 48.2261,16.2857 48.2257,16.2862 48.2255);Röntgengasse
LINESTRING (16.2834 48.135,16.2835 48.1351);Liesinger Platz
LINESTRING (16.2835 48.1446,16.2864 48.1443);Prückelmayrgasse
LINESTRING (16.2835 48.1351,16.2836 48.1351);Liesinger Platz
LINESTRING (16.2847 48.2306,16.2844 48.2289,16.2835 48.2279);Laubengasse
LINESTRING (16.2835 48.2279,16.2848 48.2283,16.2866 48.2292,16.287 48.2299,16.2875 48.2302);Schrammelgasse
LINESTRING (16.2913 48.2428,16.2907 48.2428,16.2891 48.2432,16.2878 48.2428,16.2857 48.2425,16.2846 48.2421,16.2836 48.2424);Geroldgasse
LINESTRING (16.2836 48.1927,16.284 48.1927);Hackinger Straße
LINESTRING (16.284 48.2068,16.2836 48.2067);Käthe-Jonas-Weg
LINESTRING (16.2844 48.1525,16.2836 48.1528);Steinberggasse
LINESTRING (16.2842 48.179,16.2836 48.177,16.2845 48.1741);Lainzer Straße
LINESTRING (16.2836 48.1511,16.2839 48.151);Ruzickagasse
LINESTRING (16.2839 48.1515,16.2836 48.1511);Ruzickagasse
LINESTRING (16.2844 48.2012,16.2838 48.2012,16.2836 48.2009,16.2844 48.1988);Donhartgasse
LINESTRING (16.2837 48.2534,16.2841 48.2514);Schwalbenweg
LINESTRING (16.2837 48.2336,16.285 48.235);Brunnenstubengasse
LINESTRING (16.2837 48.2406,16.2841 48.2406,16.2848 48.2403);Josef-Redl-Gasse
LINESTRING (16.2837 48.1824,16.2841 48.1798);Münichreiterstraße
LINESTRING (16.2837 48.1824,16.2843 48.1822);Stadlergasse
LINESTRING (16.2847 48.1841,16.2837 48.1824);Münichreiterstraße
LINESTRING (16.2849 48.1555,16.2844 48.155,16.2837 48.1549);Eberstorferweg
LINESTRING (16.2842 48.235,16.2837 48.2345);Marienweg
LINESTRING (16.2838 48.1377,16.2843 48.1376);Rudolf-Waisenhorn-Gasse
LINESTRING (16.2838 48.1377,16.2846 48.1386,16.2857 48.1423,16.2863 48.1437,16.2869 48.1467);Dirmhirngasse
LINESTRING (16.2906 48.2354,16.2886 48.2366,16.2855 48.2379,16.2838 48.2389);Neuwaldegger Straße
LINESTRING (16.2843 48.1822,16.2838 48.1821);Münichreiterstraße
LINESTRING (16.2842 48.1627,16.2839 48.164);Meillergasse
