WKT;rasterval
LINESTRING (16.2075 48.2029,16.2075 48.2028);Leischinggasse
LINESTRING (16.2075 48.2029,16.2085 48.204,16.2095 48.2056);Mühlbergstraße
LINESTRING (16.2102 48.2096,16.2081 48.2085,16.2083 48.2081,16.2088 48.2078);Ludwiggasse
LINESTRING (16.2165 48.1249,16.2165 48.1249);Wienergrabenstraße
LINESTRING (16.2164 48.1249,16.2162 48.1251);Wienergrabenstraße
LINESTRING (16.2156 48.1252,16.2154 48.1252);Wienergrabenstraße
LINESTRING (16.2094 48.2099,16.2093 48.2099);Herzmanskybrücke
LINESTRING (16.2094 48.2099,16.2123 48.2107);Herzmanskystraße
LINESTRING (16.2095 48.2056,16.211 48.2076,16.2116 48.2077,16.2127 48.2085);Mühlbergstraße
LINESTRING (16.2096 48.2243,16.2098 48.2239);Mauerbachstraße
LINESTRING (16.2098 48.2239,16.2098 48.2238);Mauerbachstraße
LINESTRING (16.2098 48.2238,16.2099 48.2238);Kasgrabengewölbe
LINESTRING (16.2099 48.2238,16.2101 48.2233);Mauerbachstraße
LINESTRING (16.2101 48.2233,16.2119 48.2222,16.2163 48.2189,16.2186 48.2177,16.2196 48.2167);Mauerbachstraße
LINESTRING (16.2107 48.2098,16.211 48.2099);Ludwiggasse
LINESTRING (16.211 48.2099,16.2117 48.21,16.212 48.2098);Alois-Czedik-Gasse
LINESTRING (16.2116 48.2102,16.212 48.2102);Herzmanskystraße
LINESTRING (16.212 48.2098,16.2126 48.2092);Alois-Czedik-Gasse
LINESTRING (16.212 48.2102,16.212 48.2098);Alois-Czedik-Steg
LINESTRING (16.2127 48.2103,16.212 48.2102);Herzmanskystraße
LINESTRING (16.223 48.2045,16.2195 48.2039,16.217 48.2033,16.2144 48.2023,16.212 48.2011);Westautobahn
LINESTRING (16.2121 48.1906,16.2122 48.1907);Kaiserzipfbrücke
LINESTRING (16.2125 48.1947,16.2122 48.1939,16.2123 48.1908,16.2135 48.1877);Pulverstampfstraße
LINESTRING (16.2121 48.201,16.2145 48.2022,16.2163 48.2029);Westautobahn
LINESTRING (16.2123 48.2107,16.2135 48.2108);Lorenz-Stein-Straße
LINESTRING (16.2125 48.1948,16.2125 48.1947);Klangbrücke
LINESTRING (16.226 48.2018,16.2206 48.2005,16.2189 48.2,16.2177 48.1986,16.2161 48.1979,16.2135 48.1963,16.2134 48.1958,16.2125 48.1948);Pulverstampfstraße
LINESTRING (16.2126 48.2092,16.2127 48.2085);Hofjägerstraße
LINESTRING (16.2126 48.2092,16.2133 48.2093);Josef-Palme-Platz
LINESTRING (16.2145 48.2095,16.2141 48.2097,16.214 48.21,16.2127 48.2103);Herzmanskystraße
LINESTRING (16.2127 48.2085,16.2129 48.2075,16.2142 48.2066);Hofjägerstraße
LINESTRING (16.2142 48.2066,16.2148 48.2063,16.2147 48.2065,16.2142 48.2066);Hofjägerstraße
LINESTRING (16.2148 48.2087,16.2135 48.209,16.2127 48.2085);Wiengasse
LINESTRING (16.2133 48.2093,16.2149 48.2089,16.2181 48.2089,16.2196 48.2087,16.2209 48.2081,16.2218 48.2072);Wientalstraße
LINESTRING (16.2136 48.2094,16.2133 48.2093);Hauptstraße
LINESTRING (16.2134 48.2071,16.2144 48.2076,16.2147 48.2074);Ernst-Burger-Gasse
LINESTRING (16.2135 48.2108,16.2171 48.2108);Lorenz-Stein-Straße
