WKT,zuordnung_,
"LINESTRING (16.193906807176152 48.242084407992792,16.194374307177188 48.242434207993433,16.19423550717687 48.242948607994514,16.19457880717761 48.243920307996483,16.195557307179769 48.245360707999318)",Wiesenweg Steinbachtal
"LINESTRING (16.197026607183311 48.229839007967165,16.1957603071805 48.22888260796536,16.194942507178688 48.228574607964845,16.193922107176437 48.22754650796287)",Hannbaumstraße
"LINESTRING (16.194054707176438 48.244517107997773,16.194094932882496 48.244554019685872)",Steinbachstraße
"LINESTRING (16.194342307178317 48.167252807838565,16.194213607178042 48.166737407837516,16.194717307179161 48.16604850783601,16.197953107186379 48.165602007834664,16.198496807187603 48.165228707833826,16.199702107190284 48.164905107833007,16.200575207192237 48.164353907831767,16.201716207194785 48.164124307831123,16.205600607203458 48.16217850782661,16.207851407208477 48.161369207824634,16.207878207208541 48.161177707824251,16.207121607206865 48.16069090782333,16.20548630720323 48.159996907822126,16.205481507203235 48.159568407821233,16.213100207220183 48.159562607820227,16.213857207221874 48.15936990781973)",Bärenbergstraße
"LINESTRING (16.194678607178108 48.228255607964215,16.194936107178687 48.228051007963771)",Stiegengasse
"LINESTRING (16.194936107178687 48.228051007963771,16.195917507180869 48.228215007963975,16.196928707183112 48.228699307964831,16.198055007185634 48.228047807963364,16.198260407186083 48.22816470796355)",Stiegengasse
"LINESTRING (16.196072847107423 48.249163084181909,16.196323407181406 48.249710608008165,16.197211130401936 48.250595570163505)",Pilzengraben
"LINESTRING (16.197436947625494 48.250751420688204,16.1975640524747 48.250832815637537)",Pilzengraben
"LINESTRING (16.198016648754269 48.251337960158125,16.19807219393179 48.251434301786631)",Pilzengraben
"LINESTRING (16.203324453510596 48.255258228482219,16.203581657453345 48.255399453675366)",Pilzengraben
"LINESTRING (16.196400707181613 48.247661308003913,16.196795507182479 48.248427908005475,16.196625807182087 48.249257008007206,16.197411907183835 48.249096608006766,16.1977903071847 48.248185208004827,16.198030907185231 48.248283508005009,16.198280807185778 48.248910508006254,16.198870207187099 48.24875280800584)",Lebereckstraße
"LINESTRING (16.196429207182007 48.228475407964439,16.197634307184707 48.227676007962629)",Sackgasse
"LINESTRING (16.196639507182457 48.229452207966425,16.197554707184501 48.229400607966177,16.198260407186083 48.22816470796355,16.199492307188841 48.227533207962075,16.199232207188274 48.226917607960857,16.198407707186451 48.226322407959742)",Kampfstraße
"LINESTRING (16.197016957791959 48.22986408092801,16.197026607183311 48.229839007967165)",Augustinerwaldstraße
"LINESTRING (16.197785829024461 48.22974005312691,16.197026607183311 48.229839007967165)",Hohe-Wand-Gasse
"LINESTRING (16.197905942307095 48.231463571816029,16.197949387639248 48.23145007423711)",Mauerbachstraße
"LINESTRING (16.198060261754723 48.231415627909968,16.19820887156979 48.231369438114847)",Mauerbachstraße
"LINESTRING (16.198361490810949 48.231321995158481,16.199536807188888 48.230877607968971)",Mauerbachstraße
"LINESTRING (16.197865107186161 48.167457207838517,16.197793907186004 48.167342607838293)",Sailergrabenbrücke
"LINESTRING (16.201560807194362 48.169145807841502,16.197865107186161 48.167457207838517)",Hirschgstemmstraße
"LINESTRING (16.19903340718778 48.229837407966912,16.198940263590899 48.229793348340188)",Augustinerwaldbrücke
"LINESTRING (16.200109807190167 48.230529207968182,16.19903340718778 48.229837407966912)",Hohe-Wand-Gasse
"LINESTRING (16.199264307188276 48.231016807969283,16.200210407190355 48.23308060797342,16.200232707190388 48.233778207974872)",Sofienalpenstraße
"LINESTRING (16.199536807188888 48.230877607968971,16.199677607189205 48.230794007968804)",Hainbachbrücke
"LINESTRING (16.199677607189205 48.230794007968804,16.200109807190167 48.230529207968182)",Mauerbachstraße
"LINESTRING (16.200109807190167 48.230529207968182,16.20119000719259 48.229826007966601,16.205697807202661 48.227566207961324,16.208200007208269 48.225718007957177,16.209580007211368 48.224253007953997)",Mauerbachstraße
"LINESTRING (16.200232707190388 48.233778207974872,16.20024940719042 48.23393860797519)",Kellermannbrücke
"LINESTRING (16.20024940719042 48.23393860797519,16.202369007195113 48.235990907979136,16.202961207196417 48.236774807980652,16.202996207196492 48.237281607981707,16.20420160719916 48.238191207983412,16.205106607201159 48.239321707985624)",Sofienalpenstraße
"LINESTRING (16.20061410719158 48.213254807932529,16.203582507198188 48.212882807931386,16.20632220720432 48.211513407928209)",Wurzbachtalgasse
"LINESTRING (16.212028307217196 48.201120707906057,16.210332707213428 48.199983307903892,16.208784907210006 48.198661707901422,16.205430707202606 48.194655007893587,16.203818219263233 48.193471198699982)",Westautobahn
"LINESTRING (16.201860207194084 48.229500507965824,16.201424907193111 48.229099207965064,16.201112807192441 48.228407207963677,16.202922207196483 48.228065007962748,16.205151607201461 48.227116107960491,16.205697807202661 48.227566207961324)",Greutberggasse
"LINESTRING (16.202681429885672 48.206003586949606,16.202803251143362 48.205999590439312)",Christkindlweg
"LINESTRING (16.201734707194749 48.169252007841713,16.201560807194362 48.169145807841502)",Hirschgstemmstraße
"LINESTRING (16.203316507198242 48.171352707845813,16.201734707194749 48.169252007841713)",Hirschgstemmstraße
"LINESTRING (16.201992503798245 48.204793586466877,16.202225807195312 48.204241507913757,16.203399007197937 48.203551807912191,16.204218607199756 48.203532607912017,16.206082807203924 48.202926307910545,16.207539207207166 48.202891607910288)",Mooswiesengasse
"LINESTRING (16.20329463057524 48.203458436187617,16.203399007197937 48.203551807912191)",Waldgasse
"LINESTRING (16.203297687093965 48.205074168082874,16.20621220720416 48.205735507916316,16.207011607205953 48.206193607917164,16.209097507210554 48.207976707920551,16.212594507218327 48.209193107922587)",Hauptstraße
"LINESTRING (16.215556307225359 48.180334307862715,16.213569907220947 48.179435107861138,16.213209407220148 48.179398107861111,16.212470607218499 48.179623107861659,16.21114710721556 48.179245707861071,16.208568407209846 48.177549007857912,16.207984107208564 48.176333107855484,16.207188007206796 48.175421807853731,16.207036207206468 48.174863707852573,16.206485807205254 48.174112907851104,16.205683207203478 48.173690107850327,16.205684707203488 48.173074207849083,16.205293507202619 48.172406307847737,16.203316507198242 48.171352707845813)",Pulverstampfstraße
"LINESTRING (16.204814127188261 48.212093669849914,16.204897107201134 48.21219300792977)",Schuhmeierbrücke
"LINESTRING (16.205567729843061 48.206546264586628,16.205590251325141 48.206559924769351)",Christkindlweg
"LINESTRING (16.208479674636138 48.209064620947949,16.209301237939343 48.20948182226855)",Christkindlweg
"LINESTRING (16.209621714642957 48.209628253923448,16.211596807216086 48.210235607924851)",Christkindlweg
"LINESTRING (16.205106607201159 48.239321707985624,16.205259207201493 48.239456207985889)",Stifterbrücke
"LINESTRING (16.205259207201493 48.239456207985889,16.207448907206338 48.241540707989863,16.208988707209755 48.241914707990425,16.211088807214413 48.243261807992916,16.211887307216195 48.243486907993272,16.214725407222495 48.244834807995687,16.217006407227569 48.245401807996544,16.217374107228377 48.245675707997066,16.218063807229907 48.245830207997287,16.21911500723224 48.246627407998787,16.219475707233048 48.246774007999058,16.219703907233551 48.24669420799885)",Sofienalpenstraße
"LINESTRING (16.20632220720432 48.211513407928209,16.206417826149437 48.211468792793681)",Wurzbachtalbrücke
"LINESTRING (16.207491207207063 48.202792207910072,16.207236064510713 48.202384010484984)",Leischinggasse
"LINESTRING (16.207323007206536 48.212117907929319,16.20861260720941 48.211925307928752,16.21391400722122 48.211815307927807,16.216684207227402 48.211370007926526)",Loudonstraße
"LINESTRING (16.207539207207166 48.202891607910288,16.207491207207063 48.202792207910072)",Leischinggasse
"LINESTRING (16.207539207207166 48.202891607910288,16.208512607209318 48.203972507912361,16.209524707211546 48.205635107915668)",Mühlbergstraße
"LINESTRING (16.210180007212951 48.209559707923653,16.208103907208336 48.20850930792178,16.208301907208782 48.208108507920919,16.208788107209873 48.207774607920172)",Ludwiggasse
